fichier,niveau_CECR,NbSubord
C2_25_TIJD.txt,C1-C2,12
C2_26_TIJD.txt,C1-C2,42
C2_27_TIJD.txt,C1-C2,53
C2_28_TIJD.txt,C1-C2,28
C2_29_TIJD.txt,C1-C2,39
C2_2_TIJD.txt,C1-C2,28
C2_30_TIJD.txt,C1-C2,80
C2_3_TIJD.txt,C1-C2,94
C2_4_TIJD.txt,C1-C2,25
C2_5_TIJD.txt,C1-C2,14
C2_6_TIJD.txt,C1-C2,19
C2_7_TIJD.txt,C1-C2,374
C2_8_TIJD.txt,C1-C2,10
C2_9_TIJD.txt,C1-C2,17
